,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Total Assets,55182000000.0,56172000000.0,53801000000.0,53513000000.0,56147000000.0
Total Non Current Assets,50584000000.0,51260000000.0,49596000000.0,49456000000.0,48159000000.0
Other Non Current Assets,6095000000.0,5673000000.0,5627000000.0,5586000000.0,5618000000.0
Investments And Advances,2710000000.0,2960000000.0,2876000000.0,2883000000.0,1080000000.0
Long Term Equity Investment,2710000000.0,2960000000.0,2876000000.0,2883000000.0,1080000000.0
Goodwill And Other Intangible Assets,3145000000.0,3220000000.0,3048000000.0,3028000000.0,3040000000.0
Goodwill,3145000000.0,3220000000.0,3048000000.0,3028000000.0,3040000000.0
Net PPE,38634000000.0,39407000000.0,38045000000.0,37959000000.0,38421000000.0
Accumulated Depreciation,-18882000000.0,-19403000000.0,-19035000000.0,-18750000000.0,-18662000000.0
Gross PPE,57516000000.0,58810000000.0,57080000000.0,56709000000.0,57083000000.0
Other Properties,16359000000.0,58810000000.0,57080000000.0,56709000000.0,16621000000.0
Buildings And Improvements,33904000000.0,,,,33381000000.0
Land And Improvements,7253000000.0,,,,7081000000.0
Properties,0.0,,,,0.0
Current Assets,4599000000.0,4912000000.0,4205000000.0,4057000000.0,7986000000.0
Other Current Assets,1075000000.0,1177000000.0,963000000.0,935000000.0,866000000.0
Inventory,56000000.0,54000000.0,46000000.0,46000000.0,53000000.0
Receivables,2383000000.0,2460000000.0,2404000000.0,2238000000.0,2488000000.0
Accounts Receivable,2383000000.0,2460000000.0,2404000000.0,2238000000.0,2488000000.0
Cash Cash Equivalents And Short Term Investments,1085000000.0,1221000000.0,792000000.0,838000000.0,4579000000.0
Cash And Cash Equivalents,1085000000.0,1221000000.0,792000000.0,838000000.0,4579000000.0
