,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31
Current Debt,1004000000.0,1049000000.0,1012000000.0,1006000000.0,6000000.0,,
Other Current Borrowings,1000000000.0,1000000000.0,1000000000.0,1000000000.0,,,
Current Notes Payable,4000000.0,49000000.0,12000000.0,6000000.0,6000000.0,,
Pensionand Other Post Retirement Benefit Plans Current,1708000000.0,1494000000.0,1356000000.0,1869000000.0,1747000000.0,,
Current Provisions,1682000000.0,1560000000.0,1200000000.0,1282000000.0,1227000000.0,,
Payables And Accrued Expenses,6355000000.0,6662000000.0,6569000000.0,5959000000.0,5575000000.0,,
Current Accrued Expenses,1917000000.0,2041000000.0,1960000000.0,2011000000.0,2278000000.0,,
Payables,4438000000.0,4621000000.0,4609000000.0,3948000000.0,3297000000.0,,
Dividends Payable,598000000.0,599000000.0,559000000.0,563000000.0,566000000.0,,
Total Tax Payable,734000000.0,767000000.0,693000000.0,534000000.0,391000000.0,,
Income Tax Payable,734000000.0,767000000.0,693000000.0,534000000.0,391000000.0,,
Accounts Payable,3106000000.0,3255000000.0,3357000000.0,2851000000.0,2340000000.0,,
Total Assets,37793000000.0,37959000000.0,37867000000.0,38110000000.0,37356000000.0,,
Total Non Current Assets,13184000000.0,12979000000.0,12827000000.0,12728000000.0,12603000000.0,,
Other Non Current Assets,5355000000.0,4887000000.0,4588000000.0,4511000000.0,4166000000.0,,
Goodwill And Other Intangible Assets,498000000.0,499000000.0,499000000.0,499000000.0,499000000.0,,
Other Intangible Assets,259000000.0,259000000.0,259000000.0,259000000.0,259000000.0,,
Goodwill,239000000.0,240000000.0,240000000.0,240000000.0,240000000.0,,
Net PPE,7331000000.0,7593000000.0,7740000000.0,7718000000.0,7938000000.0,,
Accumulated Depreciation,,,,-5914000000.0,,,
Gross PPE,7331000000.0,7593000000.0,7740000000.0,13632000000.0,7938000000.0,,
Leases,,,,2023000000.0,,,
Construction In Progress,,,,193000000.0,,,
Other Properties,7331000000.0,7593000000.0,7740000000.0,2718000000.0,7938000000.0,,
Machinery Furniture Equipment,,,,4930000000.0,,,
Buildings And Improvements,,,,3439000000.0,,,
Land And Improvements,,,,329000000.0,,,
Properties,,,,0.0,,,
Current Assets,24609000000.0,24980000000.0,25040000000.0,25382000000.0,24753000000.0,,
Other Current Assets,2186000000.0,1936000000.0,1729000000.0,1854000000.0,1928000000.0,,
Inventory,7539000000.0,7981000000.0,8253000000.0,7519000000.0,7726000000.0,,
Finished Goods,7539000000.0,7981000000.0,8253000000.0,7519000000.0,7726000000.0,,
Receivables,4491000000.0,5302000000.0,4764000000.0,4427000000.0,4526000000.0,,
Accounts Receivable,4491000000.0,5302000000.0,4764000000.0,4427000000.0,4526000000.0,,
Allowance For Doubtful Accounts Receivable,,,,-35000000.0,,,
Gross Accounts Receivable,,,,4462000000.0,,,
Cash Cash Equivalents And Short Term Investments,10393000000.0,9761000000.0,10294000000.0,11582000000.0,10573000000.0,,
Other Short Term Investments,1792000000.0,1782000000.0,1809000000.0,1722000000.0,1613000000.0,,
Cash And Cash Equivalents,8601000000.0,7979000000.0,8485000000.0,9860000000.0,8960000000.0,,
Cash Equivalents,7263000000.0,6607000000.0,6717000000.0,8638000000.0,7841000000.0,,
Cash Financial,1338000000.0,1372000000.0,1768000000.0,1222000000.0,1118000000.0,,
