,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Current Debt,29756622000.0,28969382000.0,23463644000.0,18876169000.0,20018449000.0
Pensionand Other Post Retirement Benefit Plans Current,667178000.0,42126000.0,34362000.0,173059000.0,447879000.0
Current Provisions,906259000.0,739671000.0,696842000.0,697394000.0,649085000.0
Payables,23388790000.0,21689959000.0,17850617000.0,12231751000.0,18410137000.0
Other Payable,2241064000.0,1868689000.0,2233395000.0,1738480000.0,1562026000.0
Total Tax Payable,1298089000.0,441594000.0,802026000.0,246231000.0,638847000.0
Accounts Payable,19849637000.0,19379676000.0,14815196000.0,10247040000.0,16209264000.0
Total Assets,179752378000.0,166821725000.0,156479843000.0,139559392000.0,132096404000.0
Total Non Current Assets,128362873000.0,117084069000.0,108111297000.0,96799856000.0,91410410000.0
Other Non Current Assets,21137000.0,21803000.0,18058000.0,16499000.0,27587000.0
Non Current Prepaid Assets,2214015000.0,3042385000.0,2983855000.0,1635038000.0,1468605000.0
Non Current Deferred Taxes Assets,24363023000.0,22320304000.0,23597363000.0,20848938000.0,21030728000.0
Financial Assets,0.0,0.0,0.0,0.0,4740000.0
Investmentin Financial Assets,34518157000.0,29816492000.0,25455130000.0,23915260000.0,25798733000.0
Available For Sale Securities,34518157000.0,29816492000.0,25455130000.0,23915260000.0,25798733000.0
Goodwill And Other Intangible Assets,46325085000.0,43858324000.0,40892082000.0,38295927000.0,33784750000.0
Other Intangible Assets,43468005000.0,41169814000.0,38423737000.0,36018958000.0,31805872000.0
Goodwill,2857080000.0,2688510000.0,2468345000.0,2276969000.0,1978878000.0
Net PPE,11095405000.0,10426601000.0,9591552000.0,8640828000.0,7478974000.0
Accumulated Depreciation,-9287563000.0,-8429249000.0,-7365346000.0,-6388780000.0,-5178555000.0
Gross PPE,20382968000.0,18855850000.0,16956898000.0,15029608000.0,12657529000.0
Construction In Progress,2703294000.0,2895980000.0,2687236000.0,2373746000.0,2057052000.0
Machinery Furniture Equipment,16232531000.0,14612870000.0,13036116000.0,11538474000.0,9668270000.0
Buildings And Improvements,1447143000.0,1347000000.0,1233546000.0,1117388000.0,932207000.0
Properties,0.0,0.0,0.0,0.0,0.0
Current Assets,51389505000.0,49737656000.0,48368546000.0,42759536000.0,40685994000.0
Other Current Assets,176371000.0,1475875000.0,726541000.0,1357001000.0,69926000.0
Hedging Assets Current,9595000.0,22039000.0,33480000.0,281386000.0,570169000.0
Current Deferred Taxes Assets,,,,,2261449000.0
Restricted Cash,1042123000.0,,,,676440000.0
Prepaid Assets,1264096000.0,1701702000.0,1558393000.0,2531739000.0,2382448000.0
Inventory,3853783000.0,4442909000.0,3480634000.0,3471930000.0,3946596000.0
Other Inventories,1414828000.0,,,,962632000.0
Finished Goods,224471000.0,,,,365315000.0
Raw Materials,2214484000.0,,,,2618649000.0
Other Receivables,6190966000.0,5562828000.0,4888782030.0,3472158000.0,4832694000.0
Taxes Receivable,1283631000.0,146759000.0,1349970.0,972077000.0,2890380000.0
Accounts Receivable,20452278000.0,18998246000.0,25877782000.0,19872879000.0,15533062000.0
Allowance For Doubtful Accounts Receivable,-7154349000.0,-6805996000.0,-6284285000.0,-6093995000.0,-5711637000.0
Gross Accounts Receivable,27606627000.0,25804242000.0,32162067000.0,25966874000.0,21244699000.0
Cash Cash Equivalents And Short Term Investments,17116662000.0,17387298000.0,11801584000.0,10800366000.0,10460719000.0
Other Short Term Investments,8670918000.0,8835241000.0,8688807000.0,8114835000.0,5959474000.0
Cash And Cash Equivalents,8445744000.0,8552057000.0,3112777000.0,2685531000.0,4501245000.0
Cash Equivalents,5827997000.0,,1807173000.0,,2873439000.0
Cash Financial,2617747000.0,,1305604000.0,,1627806000.0
