,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Payables And Accrued Expenses,12657000000.0,12748000000.0,12145000000.0,12011000000.0,12761000000.0
Current Accrued Expenses,6223000000.0,7045000000.0,6460000000.0,6312000000.0,6369000000.0
Payables,6434000000.0,5703000000.0,5685000000.0,5699000000.0,6392000000.0
Other Payable,621000000.0,,,,650000000.0
Dividends Payable,1024000000.0,956000000.0,959000000.0,959000000.0,955000000.0
Total Tax Payable,594000000.0,713000000.0,601000000.0,562000000.0,492000000.0
Income Tax Payable,594000000.0,713000000.0,601000000.0,562000000.0,492000000.0
Accounts Payable,4195000000.0,4034000000.0,4125000000.0,4178000000.0,4295000000.0
Total Assets,81414000000.0,74356000000.0,73017000000.0,72467000000.0,73214000000.0
Total Non Current Assets,57758000000.0,50554000000.0,49898000000.0,50091000000.0,50544000000.0
Other Non Current Assets,16459000000.0,8011000000.0,7653000000.0,7487000000.0,7097000000.0
Investments And Advances,886000000.0,912000000.0,877000000.0,818000000.0,799000000.0
Other Investments,333000000.0,338000000.0,328000000.0,271000000.0,244000000.0
Investmentin Financial Assets,553000000.0,574000000.0,549000000.0,547000000.0,555000000.0
Available For Sale Securities,553000000.0,574000000.0,549000000.0,547000000.0,555000000.0
Goodwill And Other Intangible Assets,29755000000.0,31010000000.0,31135000000.0,31679000000.0,32494000000.0
Other Intangible Assets,6647000000.0,7352000000.0,7827000000.0,8296000000.0,8815000000.0
Goodwill,23108000000.0,23658000000.0,23308000000.0,23383000000.0,23679000000.0
Net PPE,10658000000.0,10621000000.0,10233000000.0,10107000000.0,10154000000.0
Accumulated Depreciation,-12082000000.0,-12236000000.0,-11828000000.0,-11948000000.0,-11779000000.0
Gross PPE,22740000000.0,22857000000.0,22061000000.0,22055000000.0,21933000000.0
Construction In Progress,2488000000.0,,,,2064000000.0
Other Properties,15517000000.0,,,,15179000000.0
Buildings And Improvements,4207000000.0,,,,4161000000.0
Land And Improvements,528000000.0,,,,529000000.0
Properties,0.0,,,,0.0
Current Assets,23656000000.0,23802000000.0,23119000000.0,22376000000.0,22670000000.0
Inventory,6194000000.0,6813000000.0,6814000000.0,6827000000.0,6570000000.0
Finished Goods,3700000000.0,4173000000.0,4060000000.0,4063000000.0,3946000000.0
Work In Process,840000000.0,877000000.0,880000000.0,881000000.0,807000000.0
Raw Materials,1654000000.0,1763000000.0,1874000000.0,1883000000.0,1817000000.0
Receivables,9495000000.0,9201000000.0,9086000000.0,8898000000.0,8821000000.0
Other Receivables,2570000000.0,2150000000.0,2232000000.0,2293000000.0,2256000000.0
Accounts Receivable,6925000000.0,7051000000.0,6854000000.0,6605000000.0,6565000000.0
Allowance For Doubtful Accounts Receivable,-439000000.0,-456000000.0,-441000000.0,-439000000.0,-444000000.0
Gross Accounts Receivable,7364000000.0,7507000000.0,7295000000.0,7044000000.0,7009000000.0
Cash Cash Equivalents And Short Term Investments,7967000000.0,7788000000.0,7219000000.0,6651000000.0,7279000000.0
Other Short Term Investments,351000000.0,230000000.0,232000000.0,367000000.0,383000000.0
Cash And Cash Equivalents,7616000000.0,7558000000.0,6987000000.0,6284000000.0,6896000000.0
